"","estimator","sensitivity","dataset","size","mse"
"1","mbe","silverman","baakman_1","60000",4.77884179033027e-07
"2",NA,NA,NA,NA,3.85349885980823e-07
"3","sambe","silverman","baakman_1","60000",0.000123107058537917
"4","mbe","silverman","baakman_2","60000",5.38314315765268e-08
"5",NA,NA,NA,NA,1.75067358704637e-07
"6","sambe","silverman","baakman_2","60000",9.42469267368987e-08
"7","mbe","silverman","baakman_3","120000",4.18875723533836e-06
"8",NA,NA,NA,NA,5.75182818502647e-06
"9","sambe","silverman","baakman_3","120000",5.45395669653286e-06
"10","mbe","silverman","baakman_4","60000",7.32348565732384e-07
"11",NA,NA,NA,NA,3.7141276998013e-07
"12","sambe","silverman","baakman_4","60000",0.000410999086261783
"13","mbe","silverman","baakman_5","60000",6.56936304142945e-07
"14",NA,NA,NA,NA,3.7238908028945e-07
"15","sambe","silverman","baakman_5","60000",0.000330614586161049
"16","mbe","silverman","ferdosi_1","60000",4.11847645150439e-10
"17",NA,NA,NA,NA,3.96140762853677e-10
"18","sambe","silverman","ferdosi_1","60000",2.98325147802103e-09
"19","mbe","silverman","ferdosi_2","60000",5.27863900907397e-08
"20",NA,NA,NA,NA,1.58397416582472e-07
"21","sambe","silverman","ferdosi_2","60000",1.000586628702e-07
"22","mbe","silverman","ferdosi_3","120000",4.37491980649165e-06
"23",NA,NA,NA,NA,5.75133674889264e-06
"24","sambe","silverman","ferdosi_3","120000",5.48385704653057e-06
"25","mbe","silverman","ferdosi_4","60000",8.83445962993839e-10
"26",NA,NA,NA,NA,1.27061434646024e-09
"27","sambe","silverman","ferdosi_4","60000",2.08718866074332e-10
"28","mbe","silverman","ferdosi_5","60000",8.50419517673507e-12
"29",NA,NA,NA,NA,9.3745148049291e-12
"30","sambe","silverman","ferdosi_5","60000",7.91509927852893e-12
