"","estimator","sensitivity","dataset","size","mse"
"1","mbe","breiman","baakman_1","60000",8.32401611872921e-09
"2","mbe","silverman","baakman_1","60000",1.49022877061299e-08
"3",NA,NA,NA,NA,7.7535780993467e-09
"4","sambe","breiman","baakman_1","60000",9.04617947725424e-09
"5","sambe","silverman","baakman_1","60000",1.53987371575433e-08
"6","mbe","breiman","baakman_2","60000",5.73800768342645e-08
"7","mbe","silverman","baakman_2","60000",5.14715310702128e-08
"8",NA,NA,NA,NA,1.13842273436672e-07
"9","sambe","breiman","baakman_2","60000",5.81274073474081e-08
"10","sambe","silverman","baakman_2","60000",5.16787180214554e-08
"11","mbe","breiman","baakman_3","120000",5.06673446564385e-06
"12","mbe","silverman","baakman_3","120000",4.18875723533836e-06
"13",NA,NA,NA,NA,5.75182818502647e-06
"14","sambe","breiman","baakman_3","120000",5.10550916053028e-06
"15","sambe","silverman","baakman_3","120000",4.28417822751581e-06
"16","mbe","breiman","baakman_4","60000",1.19862801287304e-08
"17","mbe","silverman","baakman_4","60000",2.93709420107411e-08
"18",NA,NA,NA,NA,7.7732539879781e-09
"19","sambe","breiman","baakman_4","60000",1.25179100061314e-08
"20","sambe","silverman","baakman_4","60000",2.96343232055569e-08
"21","mbe","breiman","baakman_5","60000",2.09757758565101e-08
"22","mbe","silverman","baakman_5","60000",5.57179476550916e-08
"23",NA,NA,NA,NA,8.75649016614157e-09
"24","sambe","breiman","baakman_5","60000",2.13702901168358e-08
"25","sambe","silverman","baakman_5","60000",5.58474739034317e-08
"26","mbe","breiman","ferdosi_1","60000",7.21533359531961e-09
"27","mbe","silverman","ferdosi_1","60000",8.30580618349064e-09
"28",NA,NA,NA,NA,8.02569908963917e-09
"29","sambe","breiman","ferdosi_1","60000",8.31101133809126e-09
"30","sambe","silverman","ferdosi_1","60000",8.90873294574414e-09
"31","mbe","breiman","ferdosi_2","60000",5.47371097981585e-08
"32","mbe","silverman","ferdosi_2","60000",5.05836968008597e-08
"33",NA,NA,NA,NA,1.01486149459733e-07
"34","sambe","breiman","ferdosi_2","60000",5.52747272509929e-08
"35","sambe","silverman","ferdosi_2","60000",5.04975856718826e-08
"36","mbe","breiman","ferdosi_3","120000",5.14632029077312e-06
"37","mbe","silverman","ferdosi_3","120000",4.37491980649165e-06
"38",NA,NA,NA,NA,5.75133674889264e-06
"39","sambe","breiman","ferdosi_3","120000",5.18159652300222e-06
"40","sambe","silverman","ferdosi_3","120000",4.46297155268581e-06
