"","estimator","sensitivity","dataset","size","mse"
"1","mbe","breiman","baakman_1","60000",3.57636936201973e-07
"2","mbe","silverman","baakman_1","60000",4.77884179033027e-07
"3","sambe","breiman","baakman_1","60000",1.71914626972642e-05
"4","sambe","silverman","baakman_1","60000",0.000127410087534731
"5","mbe","breiman","baakman_2","60000",7.45207319623488e-08
"6","mbe","silverman","baakman_2","60000",5.69210905353334e-08
"7","sambe","breiman","baakman_2","60000",1.52004165352582e-07
"8","sambe","silverman","baakman_2","60000",1.41180061363463e-07
"9","mbe","breiman","baakman_3","120000",5.06673446564385e-06
"10","mbe","silverman","baakman_3","120000",4.18875723533836e-06
"11","sambe","breiman","baakman_3","120000",5.6807372614914e-06
"12","sambe","silverman","baakman_3","120000",5.5536468290604e-06
"13","mbe","breiman","baakman_4","60000",4.04133743173677e-07
"14","mbe","silverman","baakman_4","60000",7.32348565732384e-07
"15","sambe","breiman","baakman_4","60000",6.09502362245834e-05
"16","sambe","silverman","baakman_4","60000",0.000414865319933631
"17","mbe","breiman","baakman_5","60000",3.87172645156168e-07
"18","mbe","silverman","baakman_5","60000",6.56936304142945e-07
"19","sambe","breiman","baakman_5","60000",3.58446956850628e-05
"20","sambe","silverman","baakman_5","60000",0.000334767437087585
"21","mbe","breiman","ferdosi_1","60000",3.62056199498109e-10
"22","mbe","silverman","ferdosi_1","60000",4.11847645150439e-10
"23","sambe","breiman","ferdosi_1","60000",7.92700314451661e-09
"24","sambe","silverman","ferdosi_1","60000",1.5234115953864e-08
"25","mbe","breiman","ferdosi_2","60000",6.45877479018414e-08
"26","mbe","silverman","ferdosi_2","60000",5.27863900907397e-08
"27","sambe","breiman","ferdosi_2","60000",1.49736647608071e-07
"28","sambe","silverman","ferdosi_2","60000",1.43517611546022e-07
"29","mbe","breiman","ferdosi_3","120000",5.14632029077312e-06
"30","mbe","silverman","ferdosi_3","120000",4.37491980649165e-06
"31","sambe","breiman","ferdosi_3","120000",5.69072136685622e-06
"32","sambe","silverman","ferdosi_3","120000",5.5770423156806e-06
"33","mbe","breiman","ferdosi_4","60000",9.57794189177898e-10
"34","mbe","silverman","ferdosi_4","60000",8.83445962993839e-10
"35","sambe","breiman","ferdosi_4","60000",5.56097369021019e-10
"36","sambe","silverman","ferdosi_4","60000",7.62334861078815e-10
"37","mbe","breiman","ferdosi_5","60000",8.72585353193023e-12
"38","mbe","silverman","ferdosi_5","60000",8.50419517673507e-12
"39","sambe","breiman","ferdosi_5","60000",8.38161841531807e-12
"40","sambe","silverman","ferdosi_5","60000",8.19681145536684e-12
