x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
-1.311446932686988021e+01, -1.281591846978158422e+01, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.074019999999999937e-10, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.301558960399999470e-20, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.301558960399999470e-20, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.301558960399999470e-20, 4.301558960399999470e-20, 0.000000000000000000e+00
-1.311446932686988021e+01, -1.281591846978158422e+01, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.746579999999999651e-09, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.499582169639999616e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.499582169639999616e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.499582169639999616e-17, 9.499582169639999616e-17, 0.000000000000000000e+00
-1.311446932686988021e+01, -1.281591846978158422e+01, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.128828489999999960e-07, 9.000000000000000000e+01, 1.880180539999999939e-07, 1.000000000000000000e+00, 1.880180539999999939e-07, 1.000000000000000000e+00, 0.000000000000000000e+00, 4.531910739835680214e-14, 3.535078862994691334e-14, 3.535078862994691334e-14, 4.531910739835680214e-14, 3.535078862994691334e-14, 3.535078862994691334e-14, 6.182580303920250894e-16, 6.182580303920250894e-16, 0.000000000000000000e+00
6.658611436548191875e+01, -1.281591846978158422e+01, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.696753999999999827e-09, 9.000000000000000000e+01, 5.424282400000000153e-08, 4.000000000000000000e+00, 5.424282400000000153e-08, 4.000000000000000000e+00, 0.000000000000000000e+00, 3.245300613651599573e-17, 2.942283955494976134e-15, 2.942283955494976134e-15, 3.245300613651599573e-17, 2.942283955494976134e-15, 2.942283955494976134e-15, 2.356720912444900035e-15, 2.356720912444900035e-15, 0.000000000000000000e+00
6.658611436548191875e+01, -1.281591846978158422e+01, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.204463639999999890e-07, 9.000000000000000000e+01, 1.522577189999999990e-07, 1.000000000000000000e+00, 1.522577189999999990e-07, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.450732660082049228e-14, 2.318241299508296037e-14, 2.318241299508296037e-14, 1.450732660082049228e-14, 2.318241299508296037e-14, 2.318241299508296037e-14, 1.011962306936025549e-15, 1.011962306936025549e-15, 0.000000000000000000e+00
6.658611436548191875e+01, -1.281591846978158422e+01, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.100000000000000200e-14, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.681000000000000291e-27, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.681000000000000291e-27, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.681000000000000291e-27, 1.681000000000000291e-27, 0.000000000000000000e+00
1.462866980578337177e+02, -1.281591846978158422e+01, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.229999999999999707e-13, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.881289999999999452e-25, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.881289999999999452e-25, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.881289999999999452e-25, 3.881289999999999452e-25, 0.000000000000000000e+00
1.462866980578337177e+02, -1.281591846978158422e+01, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.504573599999999996e-08, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.272888917816959828e-16, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.272888917816959828e-16, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.272888917816959828e-16, 6.272888917816959828e-16, 0.000000000000000000e+00
1.462866980578337177e+02, -1.281591846978158422e+01, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.046540000000000422e-10, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.474680597160001003e-19, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.474680597160001003e-19, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.474680597160001003e-19, 6.474680597160001003e-19, 0.000000000000000000e+00
-1.311446932686988021e+01, 6.709296542511511063e+01, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.095149999999999555e-09, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.272175352249999276e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.272175352249999276e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.272175352249999276e-17, 8.272175352249999276e-17, 0.000000000000000000e+00
