x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
7.884103508440376551e-01, 2.703213893502698362e-01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.927125970000000154e-07, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.927125970000000154e-07, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.927125970000000154e-07, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.927125970000000154e-07, 5.927125970000000154e-07, 0.000000000000000000e+00
7.884103508440376551e-01, 2.703213893502698362e-01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.685989800000000067e-08, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.685989800000000067e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.685989800000000067e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.685989800000000067e-08, 1.685989800000000067e-08, 0.000000000000000000e+00
7.884103508440376551e-01, 2.703213893502698362e-01, 9.992779939221711061e+01, 1.565349779999999914e-07, 1.000000000000000000e+00, 1.608630349999999972e-07, 1.000000000000000000e+00, 1.345444089999999917e-07, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.328057000000005706e-09, 2.199056899999999977e-08, 1.565349779999999914e-07, 1.565349779999999914e-07, 2.631862600000000548e-08, 1.608630349999999972e-07, 1.608630349999999972e-07, 1.345444089999999917e-07, 1.345444089999999917e-07, 0.000000000000000000e+00
4.937055164219495396e+01, 2.703213893502698362e-01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.676398909999999990e-07, 1.800000000000000000e+02, 1.603780440000000092e-07, 2.100000000000000000e+01, 1.610908909999999980e-07, 2.100000000000000000e+01, 0.000000000000000000e+00, -4.676398909999999990e-07, -1.603780440000000092e-07, -1.610908909999999980e-07, -4.676398909999999990e-07, -1.603780440000000092e-07, -1.610908909999999980e-07, 3.072618469999999897e-07, 3.065490000000000274e-07, -7.128469999999887807e-10
4.937055164219495396e+01, 2.703213893502698362e-01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.879186619999999949e-07, 1.800000000000000000e+02, 9.960508299999999424e-08, 1.000000000000000000e+00, 9.960508299999999424e-08, 1.000000000000000000e+00, 0.000000000000000000e+00, -1.879186619999999949e-07, -9.960508299999999424e-08, -9.960508299999999424e-08, -1.879186619999999949e-07, -9.960508299999999424e-08, -9.960508299999999424e-08, 8.831357900000000068e-08, 8.831357900000000068e-08, 0.000000000000000000e+00
4.937055164219495396e+01, 2.703213893502698362e-01, 9.992779939221711061e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.390216100000000437e-08, 1.800000000000000000e+02, 1.070383609999999946e-07, 2.000000000000000000e+00, 1.070383609999999946e-07, 2.000000000000000000e+00, 0.000000000000000000e+00, -9.390216100000000437e-08, -1.070383609999999946e-07, -1.070383609999999946e-07, -9.390216100000000437e-08, -1.070383609999999946e-07, -1.070383609999999946e-07, -1.313619999999999027e-08, -1.313619999999999027e-08, 0.000000000000000000e+00
9.795269293354586182e+01, 2.703213893502698362e-01, 3.603381742856948122e+00, 1.353969410000000024e-07, 1.000000000000000000e+00, 1.347550180000000037e-07, 1.000000000000000000e+00, 1.420807220000000108e-07, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.419229999999986734e-10, -6.683781000000008437e-09, 1.353969410000000024e-07, 1.353969410000000024e-07, -7.325704000000007111e-09, 1.347550180000000037e-07, 1.347550180000000037e-07, 1.420807220000000108e-07, 1.420807220000000108e-07, 0.000000000000000000e+00
9.795269293354586182e+01, 2.703213893502698362e-01, 5.176559056753702492e+01, 2.542461260000000194e-07, 2.000000000000000000e+00, 2.500910079999999885e-07, 2.000000000000000000e+00, 3.161733659999999859e-07, 1.800000000000000000e+02, 3.084665039999999795e-07, 3.000000000000000000e+00, 3.063923959999999888e-07, 3.000000000000000000e+00, 4.155118000000030815e-09, -6.192723999999996657e-08, -5.422037799999996014e-08, -5.214626999999996948e-08, -6.608235799999999739e-08, -5.837549599999999096e-08, -5.630138800000000030e-08, 7.706862000000006427e-09, 9.780969999999997089e-09, 2.074107999999990663e-09
9.795269293354586182e+01, 2.703213893502698362e-01, 9.992779939221711061e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.891666680000000244e-07, 1.800000000000000000e+02, 1.444221358000000053e-06, 3.000000000000000000e+01, 1.444221358000000053e-06, 3.000000000000000000e+01, 0.000000000000000000e+00, -2.891666680000000244e-07, -1.444221358000000053e-06, -1.444221358000000053e-06, -2.891666680000000244e-07, -1.444221358000000053e-06, -1.444221358000000053e-06, -1.155054689999999923e-06, -1.155054689999999923e-06, 0.000000000000000000e+00
7.884103508440376551e-01, 4.930647280770723739e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.366375500000000480e-08, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.366375500000000480e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.366375500000000480e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.366375500000000480e-08, 6.366375500000000480e-08, 0.000000000000000000e+00
