x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
1.142745862503102838e+00, 1.323685775889948957e+00, 9.784448449403404524e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.937354000000000154e-08, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.937354000000000154e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, -4.937354000000000154e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.937354000000000154e-08, 4.937354000000000154e-08, 0.000000000000000000e+00
1.142745862503102838e+00, 1.323685775889948957e+00, 5.293395712785171270e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.064758359999999895e-07, 9.000000000000000000e+01, 7.569939899999999989e-08, 3.000000000000000000e+00, 7.586492299999999668e-08, 3.000000000000000000e+00, 0.000000000000000000e+00, -2.064758359999999895e-07, -7.569939899999999989e-08, -7.586492299999999668e-08, -2.064758359999999895e-07, -7.569939899999999989e-08, -7.586492299999999668e-08, 1.307764370000000029e-07, 1.306109130000000061e-07, -1.655239999999967909e-10
1.142745862503102838e+00, 1.323685775889948957e+00, 9.608346580630001199e+01, 6.037175879999999943e-07, 1.000000000000000000e+00, 6.239851340000000480e-07, 1.000000000000000000e+00, 5.289400160000000285e-07, 9.000000000000000000e+01, 5.750672210000000046e-07, 1.000000000000000000e+00, 5.935430020000000435e-07, 1.000000000000000000e+00, -2.026754600000005371e-08, 7.477757199999996578e-08, 2.865036699999998972e-08, 1.017458599999995087e-08, 9.504511800000001949e-08, 4.891791300000004343e-08, 3.044213200000000458e-08, -4.612720499999997606e-08, -6.460298600000001492e-08, -1.847578100000003885e-08
4.944612991847389338e+01, 1.323685775889948957e+00, 9.784448449403404524e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.042847000000000028e-07, 9.000000000000000000e+01, 6.284813449999999823e-07, 3.400000000000000000e+01, 6.284813449999999823e-07, 3.400000000000000000e+01, 0.000000000000000000e+00, -2.042847000000000028e-07, -6.284813449999999823e-07, -6.284813449999999823e-07, -2.042847000000000028e-07, -6.284813449999999823e-07, -6.284813449999999823e-07, -4.241966450000000059e-07, -4.241966450000000059e-07, 0.000000000000000000e+00
4.944612991847389338e+01, 1.323685775889948957e+00, 5.293395712785171270e+01, 4.861352859999999838e-07, 1.000000000000000000e+00, 4.790035319999999888e-07, 1.000000000000000000e+00, 4.754803419999999899e-07, 9.000000000000000000e+01, 4.106618769999999789e-07, 2.000000000000000000e+00, 4.066341329999999929e-07, 2.000000000000000000e+00, 7.131753999999994975e-09, 1.065494399999999385e-08, 7.547340900000000489e-08, 7.950115299999999085e-08, 3.523189999999998873e-09, 6.834165500000000992e-08, 7.236939899999999588e-08, 6.481846500000001104e-08, 6.884620899999999701e-08, 4.027743999999985962e-09
4.944612991847389338e+01, 1.323685775889948957e+00, 9.608346580630001199e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.296545000000000097e-09, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.296545000000000097e-09, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.296545000000000097e-09, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.296545000000000097e-09, 1.296545000000000097e-09, 0.000000000000000000e+00
9.774951397444468171e+01, 1.323685775889948957e+00, 9.784448449403404524e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.376152999999999891e-09, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.376152999999999891e-09, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.376152999999999891e-09, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.376152999999999891e-09, 3.376152999999999891e-09, 0.000000000000000000e+00
9.774951397444468171e+01, 1.323685775889948957e+00, 5.293395712785171270e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.192997930000000018e-07, 9.000000000000000000e+01, 4.420806969999999860e-07, 1.000000000000000000e+00, 4.420806969999999860e-07, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.192997930000000018e-07, -4.420806969999999860e-07, -4.420806969999999860e-07, -2.192997930000000018e-07, -4.420806969999999860e-07, -4.420806969999999860e-07, -2.227809039999999841e-07, -2.227809039999999841e-07, 0.000000000000000000e+00
9.774951397444468171e+01, 1.323685775889948957e+00, 9.608346580630001199e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.918624599999999708e-08, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.918624599999999708e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.918624599999999708e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.918624599999999708e-08, 5.918624599999999708e-08, 0.000000000000000000e+00
1.142745862503102838e+00, 4.975331237885763613e+01, 9.784448449403404524e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.736143140000000095e-07, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.736143140000000095e-07, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.736143140000000095e-07, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.736143140000000095e-07, 1.736143140000000095e-07, 0.000000000000000000e+00
1.142745862503102838e+00, 4.975331237885763613e+01, 5.293395712785171270e+01, 5.333599919999999771e-07, 1.000000000000000000e+00, 5.360922560000000092e-07, 1.000000000000000000e+00, 5.051730830000000297e-07, 9.000000000000000000e+01, 3.132373280000000129e-07, 2.000000000000000000e+00, 3.141870789999999751e-07, 2.000000000000000000e+00, -2.732264000000032122e-09, 2.818690899999994738e-08, 2.201226639999999642e-07, 2.191729130000000020e-07, 3.091917299999997950e-08, 2.228549279999999963e-07, 2.219051770000000341e-07, 1.919357550000000168e-07, 1.909860040000000546e-07, -9.497509999999622199e-10
1.142745862503102838e+00, 4.975331237885763613e+01, 9.608346580630001199e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.926510000000000102e-10, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.926510000000000102e-10, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.926510000000000102e-10, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.926510000000000102e-10, 1.926510000000000102e-10, 0.000000000000000000e+00
4.944612991847389338e+01, 4.975331237885763613e+01, 9.784448449403404524e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.419293899999999762e-08, 9.000000000000000000e+01, 2.349848189999999881e-07, 4.000000000000000000e+00, 2.349848189999999881e-07, 4.000000000000000000e+00, 0.000000000000000000e+00, -3.419293899999999762e-08, -2.349848189999999881e-07, -2.349848189999999881e-07, -3.419293899999999762e-08, -2.349848189999999881e-07, -2.349848189999999881e-07, -2.007918799999999773e-07, -2.007918799999999773e-07, 0.000000000000000000e+00
4.944612991847389338e+01, 4.975331237885763613e+01, 5.293395712785171270e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.771579699999999473e-07, 9.000000000000000000e+01, 1.377630019999999949e-07, 1.000000000000000000e+00, 1.377630019999999949e-07, 1.000000000000000000e+00, 0.000000000000000000e+00, -7.771579699999999473e-07, -1.377630019999999949e-07, -1.377630019999999949e-07, -7.771579699999999473e-07, -1.377630019999999949e-07, -1.377630019999999949e-07, 6.393949679999999260e-07, 6.393949679999999260e-07, 0.000000000000000000e+00
4.944612991847389338e+01, 4.975331237885763613e+01, 9.608346580630001199e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.793172370000000249e-07, 9.000000000000000000e+01, 7.022936399999999666e-08, 1.000000000000000000e+00, 7.022936399999999666e-08, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.793172370000000249e-07, -7.022936399999999666e-08, -7.022936399999999666e-08, -2.793172370000000249e-07, -7.022936399999999666e-08, -7.022936399999999666e-08, 2.090878730000000415e-07, 2.090878730000000415e-07, 0.000000000000000000e+00
9.774951397444468171e+01, 4.975331237885763613e+01, 9.784448449403404524e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.883237299999999949e-08, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.883237299999999949e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.883237299999999949e-08, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.883237299999999949e-08, 2.883237299999999949e-08, 0.000000000000000000e+00
9.774951397444468171e+01, 4.975331237885763613e+01, 5.293395712785171270e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.081335000000000196e-08, 9.000000000000000000e+01, 6.688853400000000393e-07, 3.700000000000000000e+01, 6.688853400000000393e-07, 3.700000000000000000e+01, 0.000000000000000000e+00, -4.081335000000000196e-08, -6.688853400000000393e-07, -6.688853400000000393e-07, -4.081335000000000196e-08, -6.688853400000000393e-07, -6.688853400000000393e-07, -6.280719900000000042e-07, -6.280719900000000042e-07, 0.000000000000000000e+00
9.774951397444468171e+01, 4.975331237885763613e+01, 9.608346580630001199e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.959103300000000088e-08, 9.000000000000000000e+01, 6.316120199999999714e-08, 1.000000000000000000e+00, 6.316120199999999714e-08, 1.000000000000000000e+00, 0.000000000000000000e+00, -3.959103300000000088e-08, -6.316120199999999714e-08, -6.316120199999999714e-08, -3.959103300000000088e-08, -6.316120199999999714e-08, -6.316120199999999714e-08, -2.357016899999999626e-08, -2.357016899999999626e-08, 0.000000000000000000e+00
