x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
1.878980043635514185e+00, 3.918779225432067470e+00, 1.142745862503102838e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.878980043635514185e+00, 3.918779225432067470e+00, 4.966284242216421063e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.396243509999999845e-06, 9.000000000000000000e+01, 2.601213906000000018e-06, 1.000000000000000000e+00, 2.601213906000000018e-06, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.153446997921711924e-11, 6.766313784767777038e-12, 6.766313784767777038e-12, 1.153446997921711924e-11, 6.766313784767777038e-12, 6.766313784767777038e-12, 6.320720712363965098e-13, 6.320720712363965098e-13, 0.000000000000000000e+00
1.878980043635514185e+00, 3.918779225432067470e+00, 9.818293898182531620e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.987040713345596288e+01, 3.918779225432067470e+00, 1.142745862503102838e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.987040713345596288e+01, 3.918779225432067470e+00, 4.966284242216421063e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.971340006999999790e-06, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.828861437198758458e-12, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.828861437198758458e-12, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.828861437198758458e-12, 8.828861437198758458e-12, 0.000000000000000000e+00
4.987040713345596288e+01, 3.918779225432067470e+00, 9.818293898182531620e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 1.047046340099999965e-05, 6.000000000000000000e+00, 8.869882376999999477e-06, 5.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.096306038316804810e-10, 7.867481338181516248e-11, 0.000000000000000000e+00, 1.096306038316804810e-10, 7.867481338181516248e-11, 1.096306038316804810e-10, 7.867481338181516248e-11, 2.561859614388889072e-12
9.786183422327640358e+01, 3.918779225432067470e+00, 1.142745862503102838e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.786183422327640358e+01, 3.918779225432067470e+00, 4.966284242216421063e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.518791782999999868e-06, 9.000000000000000000e+01, 9.762640182000000629e-06, 3.000000000000000000e+00, 9.762640182000000629e-06, 3.000000000000000000e+00, 0.000000000000000000e+00, 6.344312046108318405e-12, 9.530914332320100560e-11, 9.530914332320100560e-11, 6.344312046108318405e-12, 9.530914332320100560e-11, 9.530914332320100560e-11, 5.247333962769487571e-11, 5.247333962769487571e-11, 0.000000000000000000e+00
9.786183422327640358e+01, 3.918779225432067470e+00, 9.818293898182531620e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.878980043635514185e+00, 5.137808151567734427e+01, 1.142745862503102838e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
