x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
5.529215703790299585e+01, 5.128809162637107022e+01, 5.052663650302771714e+01, 7.375546848285433402e-04, 5.508252282560000511e-04, 1.000000000000000000e+00, 4.319779051039999962e-04, 1.000000000000000000e+00, 8.956089012419999685e-04, nan, 1.598458989191000029e-03, 2.000000000000000000e+00, 1.441894696029000049e-03, 2.000000000000000000e+00, 1.188473231520000548e-04, -3.447836729859999174e-04, -1.047633760934999977e-03, -8.910694677729999978e-04, -4.636309961379999722e-04, -1.166481084086999978e-03, -1.009916790924999998e-03, -7.028500879490000601e-04, -5.462857947870000805e-04, 1.565642931619999796e-04
5.672267959760437606e+01, 4.871382997886134802e+01, 5.245784453851815954e+01, 5.430711616470222701e-05, 1.353375046387999972e-03, 2.000000000000000000e+00, 1.331163589415000105e-03, 2.000000000000000000e+00, 1.398652743821000030e-03, nan, 1.299698092621000018e-03, 2.000000000000000000e+00, 1.275203111254999931e-03, 2.000000000000000000e+00, 2.221145697299986739e-05, -4.527769743300005811e-05, 5.367695376699995434e-05, 7.817193513300004122e-05, -6.748915440599992550e-05, 3.146549679400008695e-05, 5.596047816000017383e-05, 9.895465120000001245e-05, 1.234496325660000993e-04, 2.449498136600008688e-05
5.285026525257676866e+01, 4.986415635150770242e+01, 4.980080271148636228e+01, 3.826265191410975746e-03, 1.598849294526000003e-03, 1.000000000000000000e+00, 2.136250088974999805e-03, 1.000000000000000000e+00, 2.599633398155999989e-03, nan, 2.104833253610000152e-03, 1.000000000000000000e+00, 2.812303974299999992e-03, 1.000000000000000000e+00, -5.374007944489998020e-04, -1.000784103629999986e-03, -5.059839590840001494e-04, -1.213454679773999989e-03, -4.633833091810001838e-04, 3.141683536499965262e-05, -6.760538853250001867e-04, 4.948001445459998364e-04, -2.126705761440000030e-04, -7.074707206899998393e-04
5.123179550581511421e+01, 5.191393157023925653e+01, 5.018957200073770508e+01, 1.930941067489846431e-03, 9.318861460580000469e-04, 1.000000000000000000e+00, 9.505721417110000364e-04, 1.000000000000000000e+00, 1.515191179598000034e-03, nan, 4.056304052072999718e-03, 5.000000000000000000e+00, 3.671728565387999844e-03, 4.000000000000000000e+00, -1.868599565299998953e-05, -5.833050335399999871e-04, -3.124417906014999562e-03, -2.739842419329999688e-03, -5.646190378869999976e-04, -3.105731910361999790e-03, -2.721156423676999916e-03, -2.541112872474999684e-03, -2.156537385789999810e-03, 3.845754866849998739e-04
5.228311317544098102e+01, 5.058415686592133653e+01, 5.016013332723177598e+01, 4.114415151747445945e-03, 5.539421050989999651e-03, 4.000000000000000000e+00, 5.176188910688999875e-03, 2.000000000000000000e+00, 3.591629778280000171e-03, nan, 5.474506796858000235e-03, 9.000000000000000000e+00, 6.336155315764999650e-03, 8.000000000000000000e+00, 3.632321403009997757e-04, 1.947791272709999480e-03, 6.491425413199941596e-05, -7.967342647749999993e-04, 1.584559132408999704e-03, -2.983178861690003597e-04, -1.159966405075999775e-03, -1.882877018578000064e-03, -2.744525537484999479e-03, -8.616485189069994152e-04
5.100102298212279806e+01, 4.972999654051537988e+01, 5.196631864147887114e+01, 1.853903525618260566e-03, 2.044548586363000020e-03, 2.000000000000000000e+00, 1.845809818579000061e-03, 2.000000000000000000e+00, 2.137959866002000185e-03, nan, 3.297372565519999989e-03, 5.000000000000000000e+00, 2.825815456121000095e-03, 5.000000000000000000e+00, 1.987387677839999589e-04, -9.341127963900016512e-05, -1.252823979156999969e-03, -7.812668697580000751e-04, -2.921500474230001240e-04, -1.451562746940999928e-03, -9.800056375420000340e-04, -1.159412699517999804e-03, -6.878555901189999100e-04, 4.715571093989998942e-04
5.093920310495270343e+01, 4.664007644804839714e+01, 4.887594679293155053e+01, 1.557451353552108386e-04, 5.508252282560000511e-04, 1.000000000000000000e+00, 4.319779051039999962e-04, 1.000000000000000000e+00, 8.956089012419999685e-04, nan, 4.563365629189999905e-04, 1.000000000000000000e+00, 3.578763323819999891e-04, 1.000000000000000000e+00, 1.188473231520000548e-04, -3.447836729859999174e-04, 9.448866533700006056e-05, 1.929488958740000620e-04, -4.636309961379999722e-04, -2.435865781499999428e-05, 7.410157272200000719e-05, 4.392723383229999779e-04, 5.377325688599999794e-04, 9.846023053700000147e-05
5.196085578632108337e+01, 4.902325590332072380e+01, 5.113766201717442783e+01, 2.579072630760844559e-03, 2.845759378901999842e-03, 2.000000000000000000e+00, 3.651411814149999827e-03, 2.000000000000000000e+00, 2.294130820272000191e-03, nan, 3.597064927578999798e-03, 2.000000000000000000e+00, 4.274725046476000184e-03, 2.000000000000000000e+00, -8.056524352479999852e-04, 5.516285586299996511e-04, -7.513055486769999562e-04, -1.428965667574000342e-03, 1.357280993877999636e-03, 5.434688657100002901e-05, -6.233132323260003570e-04, -1.302934107306999607e-03, -1.980594226203999993e-03, -6.776601188970003860e-04
5.680926387196282690e+01, 5.006022159549166872e+01, 4.808594713033044599e+01, 1.617731706898059964e-04, 5.508252282560000511e-04, 1.000000000000000000e+00, 4.319779051039999962e-04, 1.000000000000000000e+00, 8.956089012419999685e-04, nan, 1.005194877705999947e-03, 2.000000000000000000e+00, 1.002581999184999932e-03, 2.000000000000000000e+00, 1.188473231520000548e-04, -3.447836729859999174e-04, -4.543696494499998954e-04, -4.517567709289998807e-04, -4.636309961379999722e-04, -5.732169726019998961e-04, -5.706040940809998813e-04, -1.095859764639999781e-04, -1.069730979429999633e-04, 2.612878521000014734e-06
4.943844844992249676e+01, 5.193378489276960863e+01, 5.201725089161090665e+01, 6.306115017353701533e-04, 8.907170361519999762e-04, 1.000000000000000000e+00, 8.882811326100000090e-04, 1.000000000000000000e+00, 1.448252667348999979e-03, nan, 8.332637824469999810e-04, 2.000000000000000000e+00, 8.392701278649999800e-04, 2.000000000000000000e+00, 2.435903541999967156e-06, -5.575356311970000025e-04, 5.745325370499999515e-05, 5.144690828699999621e-05, -5.599715347389999697e-04, 5.501735016300002799e-05, 4.901100474500002906e-05, 6.149888849019999977e-04, 6.089825394839999987e-04, -6.006345417999998937e-06
