x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
2.752810469193532938e+01, 1.116392217442196610e+01, 1.047586979930992790e+01, 5.418223671073410172e-04, 1.491585308799999986e-05, 3.500000000000000000e+01, 2.388993097600000030e-05, 3.900000000000000000e+01, 5.647013605999999906e-06, nan, 1.485189246400000067e-05, 3.600000000000000000e+01, 2.393862457900000013e-05, 4.200000000000000000e+01, 8.053407393989054735e-11, 8.591138534308204667e-11, 4.090961422469272939e-15, 8.141040537880237359e-11, 3.328040341686477734e-10, 8.168614014439516716e-11, 2.371066973121592262e-15, 8.472979479045540740e-11, 3.345830319875740301e-10, 8.256870052977236448e-11
2.848178639840291737e+01, 8.837814191916198325e+00, 1.222091324956652336e+01, 3.973999374025441185e-05, 1.450971195700000025e-05, 3.600000000000000000e+01, 2.252957637200000052e-05, 3.900000000000000000e+01, 5.550178872000000255e-06, nan, 1.269808106299999920e-05, 3.500000000000000000e+01, 2.045177683200000024e-05, 4.200000000000000000e+01, 6.431822523498329082e-11, 8.027323310120961575e-11, 3.282006496095243094e-12, 3.530813497870876663e-11, 2.882999394630062046e-10, 9.665830001088903771e-11, 4.317250928424212429e-12, 5.109250573210258584e-11, 2.220576217614761541e-10, 6.011979807820851289e-11
2.590017683505118029e+01, 9.877251407044688847e+00, 9.820004930985428260e+00, 2.811551778397429219e-03, 1.539871426500000087e-05, 3.500000000000000000e+01, 2.495419645100000066e-05, 4.000000000000000000e+01, 5.722170203999999945e-06, nan, 1.418002269999999952e-05, 3.400000000000000000e+01, 2.303664145200000067e-05, 3.900000000000000000e+01, 9.130723980696333129e-11, 9.363550496447438506e-11, 1.485209130602152581e-12, 5.833793171391372778e-11, 3.698708335652969310e-10, 1.160828200167374317e-10, 3.677017174189889683e-12, 7.153526884409342003e-11, 2.997909145978186835e-10, 7.843969571827805957e-11
2.482119700387674399e+01, 1.172943240164032908e+01, 1.017129763969491663e+01, 1.418778678159137449e-03, 1.536805149799999948e-05, 3.500000000000000000e+01, 2.486153659900000021e-05, 3.900000000000000000e+01, 5.718261241000000279e-06, nan, 1.460456342900000011e-05, 3.600000000000000000e+01, 2.324860023500000060e-05, 4.200000000000000000e+01, 9.012625936290899735e-11, 9.311845200409210980e-11, 5.829140315053477792e-13, 6.210304839623230813e-11, 3.664649914322100765e-10, 1.052054986100998466e-10, 2.601563714313539165e-12, 7.896636657645358266e-11, 3.073127852445569772e-10, 7.471937230348269315e-11
2.552207545029398617e+01, 1.052784531446896921e+01, 1.014469679533134538e+01, 3.023297890065700707e-03, 1.544137850099999907e-05, 3.500000000000000000e+01, 2.503852081600000019e-05, 3.900000000000000000e+01, 5.730654046999999890e-06, nan, 1.417224618900000018e-05, 3.400000000000000000e+01, 2.301373408700000008e-05, 3.900000000000000000e+01, 9.210514061436357634e-11, 9.429816942151358147e-11, 1.610696825362462606e-12, 5.734056912082541715e-11, 3.727937191694545603e-10, 1.180759242693840007e-10, 4.099761297934519746e-12, 7.126047789187615833e-11, 2.987048556690464571e-10, 7.817190825048045104e-11
2.466734865474853322e+01, 9.756024333028104678e+00, 1.177676946417569681e+01, 1.362167877572032469e-03, 1.543360504899999992e-05, 3.600000000000000000e+01, 2.496807390300000059e-05, 3.900000000000000000e+01, 5.835958639999999581e-06, nan, 1.276424475700000016e-05, 3.400000000000000000e+01, 2.072690617400000114e-05, 3.900000000000000000e+01, 9.090609632789608257e-11, 9.211481659219058858e-11, 7.125484368506324168e-12, 2.801903679992627783e-11, 3.660378344367175397e-10, 1.489334458247591072e-10, 1.798750370551101405e-11, 4.800114851901494644e-11, 2.217403184603407104e-10, 6.340397684178046984e-11
2.462613540330180228e+01, 6.963966346480627401e+00, 8.984303269928879843e+00, 1.142814100008736100e-04, 1.484508691600000078e-05, 3.400000000000000000e+01, 2.396370989000000157e-05, 3.800000000000000000e+01, 5.647053346999999964e-06, nan, 1.641583099100000159e-05, 3.100000000000000000e+01, 2.554343076500000063e-05, 3.500000000000000000e+01, 8.314928494196061317e-11, 8.460382153645089926e-11, 2.467236949147608304e-12, 1.144545611114361363e-10, 3.354999069142247917e-10, 5.697047587396945155e-11, 2.495518042910762801e-12, 1.159665719459142268e-10, 3.958658343595003565e-10, 8.331307763432482936e-11
2.530723719088071988e+01, 9.117412077226520140e+00, 1.102799367814963105e+01, 1.895056163021041976e-03, 1.544038871899999985e-05, 3.600000000000000000e+01, 2.468254564299999924e-05, 3.900000000000000000e+01, 5.829813997999999814e-06, nan, 1.524939278499999962e-05, 3.300000000000000000e+01, 2.425491056299999910e-05, 3.400000000000000000e+01, 8.541746460784113347e-11, 9.236314646792420604e-11, 3.647944680453244584e-14, 7.769579533835314666e-11, 3.554254904783843475e-10, 8.898437284239356541e-11, 1.828717616466065265e-13, 8.872846452450036831e-11, 3.394841834295747360e-10, 8.109935044987405006e-11
2.853950924797521438e+01, 1.005441635434685566e+01, 8.270457991951417398e+00, 1.187110932172407525e-04, 1.446889922499999970e-05, 3.500000000000000000e+01, 2.287271561199999986e-05, 3.900000000000000000e+01, 5.561522839999999873e-06, nan, 1.320803266000000074e-05, 3.500000000000000000e+01, 2.083550670700000054e-05, 4.000000000000000000e+01, 7.062412986640974006e-11, 7.934135406405566511e-11, 1.589784494734896537e-12, 4.053369082985838878e-11, 2.996773951893450233e-10, 9.340609656267941301e-11, 4.150220122611296395e-12, 5.846911242735645020e-11, 2.332945831693762865e-10, 5.817836033765855402e-11
2.362563229994833236e+01, 1.174737190365706496e+01, 1.182279194744335804e+01, 4.632354980931522735e-04, 1.524755222800000027e-05, 3.500000000000000000e+01, 2.456956239600000059e-05, 3.900000000000000000e+01, 5.807765200999999981e-06, nan, 1.665606678600000008e-05, 3.300000000000000000e+01, 2.570836985699999876e-05, 3.500000000000000000e+01, 8.689987357229539143e-11, 8.910957911511751000e-11, 1.983913260097934993e-12, 1.094287054671971539e-10, 3.520050339863098738e-10, 6.262341276948927996e-11, 1.296882433229262273e-12, 1.176856472791135223e-10, 3.960340656744088212e-10, 8.194419088923600465e-11
