x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
2.894454096145167199e+01, 2.589477871959566002e+01, 2.718852466462154283e+01, 2.287013749001421987e-04, 5.591537596499999996e-05, 3.300000000000000000e+01, 7.911558119499999481e-05, 3.100000000000000000e+01, 1.942477131300000037e-05, nan, 4.620310977700000174e-05, 3.000000000000000000e+01, 6.878949726500000492e-05, 3.000000000000000000e+01, -2.320020522999999486e-05, 3.649060465200000298e-05, 9.712266187999998217e-06, -1.287412130000000496e-05, 5.969080988199999783e-05, 3.291247141799999307e-05, 1.032608392999998989e-05, -2.677833846400000137e-05, -4.936472595200000794e-05, -2.258638748800000318e-05
3.001078952373143949e+01, 2.917598661789821080e+01, 2.281474022768946952e+01, 1.700485851840055098e-05, 4.393880938700000046e-05, 2.700000000000000000e+01, 5.474017448499999693e-05, 2.500000000000000000e+01, 1.853874970100000152e-05, nan, 2.187846144300000068e-05, 2.600000000000000000e+01, 2.875830819200000135e-05, 2.800000000000000000e+01, -1.080136509799999646e-05, 2.540005968599999894e-05, 2.206034794399999979e-05, 1.518050119499999911e-05, 3.620142478399999541e-05, 3.286171304199999286e-05, 2.598186629299999558e-05, -3.339711741999999158e-06, -1.021955849099999983e-05, -6.879846749000000675e-06
2.712446228622242117e+01, 2.466155499336175083e+01, 2.476919563083012932e+01, 1.185703323160112793e-03, 6.169630696299999487e-05, 3.300000000000000000e+01, 1.051630753889999973e-04, 3.600000000000000000e+01, 2.024882591800000021e-05, nan, 4.651061541900000168e-05, 3.100000000000000000e+01, 7.256782334999999345e-05, 3.100000000000000000e+01, -4.346676842600000245e-05, 4.144748104499999466e-05, 1.518569154399999319e-05, -1.087151638699999858e-05, 8.491424947099999033e-05, 5.865245996999999563e-05, 3.259525203900000387e-05, -2.626178950100000148e-05, -5.231899743199999324e-05, -2.605720793099999176e-05
2.591812616179377926e+01, 2.532209121683755271e+01, 2.825185441944622511e+01, 5.984586217511774072e-04, 5.805189005500000236e-05, 3.300000000000000000e+01, 9.390082542100000205e-05, 3.400000000000000000e+01, 1.972574733600000133e-05, nan, 5.528113697500000167e-05, 3.300000000000000000e+01, 9.014349494600000447e-05, 3.400000000000000000e+01, -3.584893536599999969e-05, 3.832614271900000103e-05, 2.770753080000000696e-06, -3.209160489100000211e-05, 7.417507808500000072e-05, 3.861968844600000038e-05, 3.757330474999997583e-06, -3.555538963900000033e-05, -7.041774761000000314e-05, -3.486235797100000280e-05
2.670173208687047861e+01, 2.527207360804137082e+01, 2.599250836113158414e+01, 1.274983322967591188e-03, 6.152461455700000486e-05, 3.300000000000000000e+01, 1.046871496440000002e-04, 3.600000000000000000e+01, 2.022497912699999968e-05, nan, 5.311744700499999747e-05, 3.200000000000000000e+01, 7.793620956600000457e-05, 3.000000000000000000e+01, -4.316253508699999534e-05, 4.129963543000000518e-05, 8.407167552000007393e-06, -1.641159500899999971e-05, 8.446217051700000730e-05, 5.156970263900000274e-05, 2.675094007799999564e-05, -3.289246787799999779e-05, -5.771123043900000489e-05, -2.481876256100000710e-05
2.574611847835538114e+01, 2.834086237134028963e+01, 2.454125217607383647e+01, 5.745894124150642546e-04, 5.985369568200000112e-05, 3.300000000000000000e+01, 1.002432345849999938e-04, 3.600000000000000000e+01, 1.998715452600000110e-05, nan, 3.128543299099999773e-05, 3.600000000000000000e+01, 5.428115637600000316e-05, 4.600000000000000000e+01, -4.038953890299999271e-05, 3.986654115600000341e-05, 2.856826269100000339e-05, 5.572539305999997961e-06, 8.025608005899999612e-05, 6.895780159399999610e-05, 4.596207820899999067e-05, -1.129827846499999663e-05, -3.429400185000000545e-05, -2.299572338500000543e-05
2.570004066245103758e+01, 2.309018386762840436e+01, 1.929134122593033140e+01, 4.843427923816963956e-05, 5.055262746000000037e-05, 3.100000000000000000e+01, 6.831326362599999863e-05, 2.700000000000000000e+01, 1.893023204300000161e-05, nan, 2.423264977599999832e-05, 3.500000000000000000e+01, 3.903410263299999838e-05, 4.000000000000000000e+01, -1.776063616599999825e-05, 3.162239541699999538e-05, 2.631997768400000205e-05, 1.151852482700000199e-05, 4.938303158299999363e-05, 4.408061385000000369e-05, 2.927916099300000024e-05, -5.302417732999996716e-06, -2.010387058999999678e-05, -1.480145285700000006e-05
2.646153561076258143e+01, 2.693293810286138168e+01, 2.334046856384867752e+01, 7.992748418071748484e-04, 6.124634685200000528e-05, 3.300000000000000000e+01, 1.039536008150000046e-04, 3.600000000000000000e+01, 2.018575556500000126e-05, nan, 5.630588050999999888e-05, 3.200000000000000000e+01, 9.309376715100000385e-05, 3.600000000000000000e+01, -4.270725396299999933e-05, 4.106059128700000402e-05, 4.940466342000006405e-06, -3.184742029899999857e-05, 8.376784525000001013e-05, 4.764772030500000574e-05, 1.085983366400000076e-05, -3.612012494499999761e-05, -7.290801158600000937e-05, -3.678788664100000498e-05
3.007532563148076576e+01, 2.174793948745482197e+01, 2.510231915523563373e+01, 5.030199767506825627e-05, 4.670511619399999952e-05, 2.800000000000000000e+01, 6.590562032399999842e-05, 3.100000000000000000e+01, 1.872176114299999939e-05, nan, 4.913887410399999983e-05, 3.200000000000000000e+01, 6.332730172500000460e-05, 2.900000000000000000e+01, -1.920050412999999890e-05, 2.798335505100000013e-05, -2.433757910000000310e-06, -1.662218553100000508e-05, 4.718385918099999904e-05, 1.676674621999999859e-05, 2.578318598999993828e-06, -3.041711296100000044e-05, -4.460554058200000521e-05, -1.418842762100000477e-05
2.458144418705211010e+01, 2.842739851780423166e+01, 2.828558609283251002e+01, 1.955662415313215452e-04, 5.367200345000000089e-05, 3.200000000000000000e+01, 8.224784038899999445e-05, 3.200000000000000000e+01, 1.924677936500000138e-05, nan, 4.553611256599999764e-05, 3.000000000000000000e+01, 5.995006354499999820e-05, 2.700000000000000000e+01, -2.857583693899999356e-05, 3.442522408499999612e-05, 8.135890884000003250e-06, -6.278060094999997310e-06, 6.300106102399999645e-05, 3.671172782299999681e-05, 2.229777684399999625e-05, -2.628933320099999626e-05, -4.070328418000000021e-05, -1.441395097900000056e-05
