x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
2.649474675240354671e+01, 1.056590775115428471e+01, 1.138414453113203884e+01, 5.418223671073410172e-04, 1.399088262500000014e-05, 3.600000000000000000e+01, 2.210330498899999913e-05, 3.900000000000000000e+01, 5.423238584000000219e-06, nan, 1.007262179400000084e-05, 3.600000000000000000e+01, 1.601823857400000060e-05, 4.000000000000000000e+01, 6.581139661192733871e-11, 7.340452441328278957e-11, 1.535276793974880625e-11, 4.110172143945692303e-12, 2.782246152752095344e-10, 1.447373381384553623e-10, 3.702803327496093184e-11, 2.161676423342990838e-11, 1.122540247880999958e-10, 3.535035889461756464e-11
2.716910155414033667e+01, 1.264112583818832292e+01, 8.617920368071555259e+00, 3.973999374025434408e-05, 1.364089486400000013e-05, 3.500000000000000000e+01, 2.142561766199999938e-05, 3.800000000000000000e+01, 5.373899597999999936e-06, nan, 7.450870358000000360e-06, 3.500000000000000000e+01, 1.170310041499999930e-05, 4.000000000000000000e+01, 6.060190904170094020e-11, 6.834321072806643403e-11, 3.831640338488054208e-11, 3.755047326575216751e-12, 2.576576528061439430e-10, 1.952935622106552234e-10, 9.452734161821246115e-11, 4.313807537894979111e-12, 4.005878298191346043e-11, 1.808146045765421426e-11
2.534362792551828036e+01, 9.785948583262465306e+00, 9.854026499900971459e+00, 2.811551778397434424e-03, 1.423030271300000078e-05, 3.600000000000000000e+01, 2.265516618400000137e-05, 3.900000000000000000e+01, 5.470441115000000347e-06, nan, 1.900352451199999938e-05, 2.500000000000000000e+01, 2.780685668299999851e-05, 2.400000000000000000e+01, 7.097832450499018252e-11, 7.673517521611511154e-11, 2.278364634244878216e-11, 1.843228177003227017e-10, 2.953147756971171203e-10, 1.333448690068696975e-11, 2.653991499748684012e-11, 1.831443462301570489e-10, 4.989154604263926944e-10, 7.749865731296356258e-11
2.458067397013132194e+01, 1.020370837190836788e+01, 1.205665331694692277e+01, 1.418778678159136148e-03, 1.408484014700000028e-05, 3.600000000000000000e+01, 2.230919616899999891e-05, 3.900000000000000000e+01, 5.551372576999999851e-06, nan, 1.152295902199999941e-05, 3.300000000000000000e+01, 1.817671689699999890e-05, 3.700000000000000000e+01, 6.764003197660764657e-11, 7.282006876824170703e-11, 6.563234898631269830e-12, 1.674345533719055040e-11, 2.808246515405917877e-10, 1.163429117913226845e-10, 1.707738493350964892e-11, 3.565984467010773510e-11, 1.593993191985562416e-10, 4.427249385912450929e-11
2.507626987238044691e+01, 1.017207445852612757e+01, 1.062771740358734718e+01, 3.023297890065700707e-03, 1.423689757700000001e-05, 3.600000000000000000e+01, 2.266027833299999892e-05, 3.900000000000000000e+01, 5.572267160999999774e-06, nan, 1.447596263100000047e-05, 3.600000000000000000e+01, 2.267619782099999944e-05, 4.100000000000000000e+01, 7.095334336055111904e-11, 7.507582024587233322e-11, 5.715210004402313572e-14, 7.122178860837845345e-11, 2.920001258143968602e-10, 6.698302351000372994e-11, 2.534300981821607037e-16, 7.927579302249852862e-11, 2.925444440220880602e-10, 6.724385717131431562e-11
2.447188675918840772e+01, 1.211294688851731038e+01, 9.709862400949488048e+00, 1.362167877572032469e-03, 1.416536038000000063e-05, 3.500000000000000000e+01, 2.253755097299999993e-05, 3.900000000000000000e+01, 5.463977454000000282e-06, nan, 1.383420074900000053e-05, 3.500000000000000000e+01, 2.187213258800000025e-05, 3.800000000000000000e+01, 7.009357532551767494e-11, 7.571406482488434270e-11, 1.096667012040562237e-13, 5.939433786600118484e-11, 2.915069127086979866e-10, 7.574830512160084343e-11, 4.427816270960078039e-13, 7.006063800816064878e-11, 2.692275549014105411e-10, 6.460834824840991173e-11
2.444274458961567831e+01, 8.792126221914426054e+00, 6.389527177847055484e+00, 1.142814100008734203e-04, 1.364855817699999945e-05, 3.400000000000000000e+01, 2.128543248100000078e-05, 3.700000000000000000e+01, 5.371410163999999960e-06, nan, 1.210565702600000059e-05, 3.200000000000000000e+01, 1.905105032600000088e-05, 3.800000000000000000e+01, 5.832184913509549929e-11, 6.851117922910984289e-11, 2.380543961757121267e-12, 2.918692142000665376e-11, 2.532561063059740834e-10, 8.426827740422046066e-11, 4.992463614582443731e-12, 4.535008079835685602e-11, 1.871325549618034222e-10, 4.823848809168489219e-11
2.492435628229101141e+01, 1.122249739623335962e+01, 8.950420162622304332e+00, 1.895056163021038506e-03, 1.420863298600000065e-05, 3.500000000000000000e+01, 2.264483100700000079e-05, 3.900000000000000000e+01, 5.472473939000000134e-06, nan, 6.999218310999999872e-06, 3.600000000000000000e+01, 1.117991410800000024e-05, 4.100000000000000000e+01, 7.116943704952431423e-11, 7.632047489447995299e-11, 5.197565995610536988e-11, 9.173138041953580713e-12, 2.948898472708896285e-10, 2.447851966332364158e-10, 1.314443195009757916e-10, 2.330948377433673757e-12, 3.257487328271475167e-11, 1.747821734705346704e-11
2.720991777250231891e+01, 7.943216338332531379e+00, 1.006471231576178837e+01, 1.187110932172407525e-04, 1.369642759700000075e-05, 3.600000000000000000e+01, 2.121163133800000030e-05, 3.800000000000000000e+01, 5.361659172000000394e-06, nan, 1.141712669500000030e-05, 3.500000000000000000e+01, 1.795818060399999980e-05, 4.300000000000000000e+01, 5.647828726874039079e-11, 6.946836469837699060e-11, 5.195212601858016000e-12, 1.816253869267353240e-11, 2.512216176629748007e-10, 9.593232120174856369e-11, 1.058494167856514126e-11, 3.666868692210775489e-11, 1.586723521868353048e-10, 4.278538624044417608e-11
2.373528206063625490e+01, 1.216767715306930775e+01, 1.207798710038483136e+01, 4.632354980931514604e-04, 1.395908473299999946e-05, 3.600000000000000000e+01, 2.202058443400000063e-05, 3.900000000000000000e+01, 5.527792124999999955e-06, nan, 1.190899662199999964e-05, 3.600000000000000000e+01, 1.874785711200000165e-05, 3.900000000000000000e+01, 6.498777742922310489e-11, 7.108669504171542466e-11, 4.202861262863547543e-12, 2.293234089787334058e-11, 2.720121981478095904e-10, 1.022442080797869725e-10, 1.071074412416528431e-11, 4.071977083253301948e-11, 1.747701182605033810e-10, 4.677001280168306511e-11
2.421912875087537742e+01, 1.053480256400257531e+01, 8.744481355219956953e+00, 2.785042813149343592e-03, 1.423739855199999924e-05, 3.500000000000000000e+01, 2.271414469099999867e-05, 3.900000000000000000e+01, 5.476321363000000079e-06, nan, 8.930920395000000727e-06, 3.400000000000000000e+01, 1.429805894600000032e-05, 3.900000000000000000e+01, 7.185522510505139588e-11, 7.675647351161614742e-11, 2.815871043071809997e-11, 3.679683400235366165e-15, 2.971425530873409552e-10, 1.899772719938446404e-10, 7.083049926719217186e-11, 1.193425447189534127e-11, 7.782305398331466962e-11, 2.880617622563037361e-11
2.119873077033699360e+01, 9.507977919908581654e+00, 1.022111083256990050e+01, 5.871942468938101678e-04, 1.387698373899999985e-05, 3.500000000000000000e+01, 2.165238976600000162e-05, 3.800000000000000000e+01, 5.512458319000000265e-06, nan, 1.041790228999999944e-05, 3.600000000000000000e+01, 1.656549411900000042e-05, 4.000000000000000000e+01, 6.045693888470795487e-11, 6.996528550182615718e-11, 1.196524447081594171e-11, 7.228088063367747040e-12, 2.604973871138595527e-10, 1.262137088484008886e-10, 2.587650732346756193e-11, 2.406338055262024031e-11, 1.221696003960816117e-10, 3.779288529598757408e-11
2.573989376634636983e+01, 1.170042188927502558e+01, 9.452237161750867145e+00, 9.486783972435250747e-04, 1.405920555399999961e-05, 3.500000000000000000e+01, 2.244312611499999944e-05, 3.900000000000000000e+01, 5.456196084999999623e-06, nan, 8.215763226000000403e-06, 3.500000000000000000e+01, 1.310968541400000069e-05, 4.000000000000000000e+01, 7.029012397315854900e-11, 7.401177192370366509e-11, 3.414581824066204955e-11, 9.015884962656175362e-13, 2.885557918441157818e-10, 2.024178547752943896e-10, 8.711311531908334956e-11, 7.615210805686918288e-12, 5.857589890911688807e-11, 2.395047438219870925e-11
2.357247935019367091e+01, 8.517122175935595507e+00, 7.991791374428427019e+00, 9.033473038885400739e-04, 1.399249943899999963e-05, 3.500000000000000000e+01, 2.194767822999999911e-05, 3.800000000000000000e+01, 5.423318783000000291e-06, nan, 1.170554052100000076e-05, 3.900000000000000000e+01, 1.840136580000000015e-05, 4.600000000000000000e+01, 6.328486959677621229e-11, 7.343085711516456558e-11, 5.230181092619725407e-12, 1.943810258915738724e-11, 2.730544551336581145e-10, 1.049013848501197318e-10, 1.257633185117249686e-11, 3.946630996539974875e-11, 1.684297043754626218e-10, 4.483407616689542022e-11
